rank	pert_id	pert_iname	response_source	net_sig_protective_genes	n_sig_protective_genes	n_sig_opposing_genes	protective_genes_abs1	opposing_genes_abs1	clinical_phase	moa	target	disease_area	indication	reasonableness	biology_read
1	BRD-K04623885	BIBR-1532	observed_thp1	6	6	0	CASP2|GSTK1|CASS4|USP6NL|RABEP1|RHOH		Preclinical	telomerase inhibitor	TERT	not annotated		likely_nonspecific_or_toxic	Telomerase inhibition can induce senescence and DNA-damage programs. The clean 6:0 gene pattern is strong, but there is no direct microglial AD rationale and the THP1 response may primarily reflect cellular stress.
2	BRD-K18190982	COT-10b	observed_thp1	4	5	1	CASP2|RHOH|RABEP1|BIN1|PSMC3	USP6NL	not annotated	not annotated	not annotated	not annotated		uninterpretable	The 5:1 pattern is favorable, but neither a resolved compound identity nor MOA/target annotation is available. Treat this as a transcriptional lead requiring chemical identity and target confirmation.
3	BRD-K89014967	AS-703026	observed_thp1	3	6	3	GSTK1|CASP2|EPHA1|RHOH|CTSH|RABEP1	ZYX|PLEKHA1|PSMC3	Phase 2	MEK inhibitor	MAP2K1|MAP2K2	not annotated		plausible_with_caveats	MEK-ERK signaling regulates myeloid inflammatory activation, making MEK1/2 inhibition biologically plausible. The 6:3 pattern is mixed, and systemic MEK inhibition has substantial on-target toxicity.
4	BRD-A35588707	teniposide	observed_thp1	3	4	1	PSMC3|BIN1|ZYX|USP6NL	CASS4	Launched	topoisomerase inhibitor	TOP2A|TOP2B	hematologic malignancy	acute lymphoblastic leukemia (ALL)	likely_nonspecific_or_toxic	Teniposide is a cytotoxic TOP2 inhibitor. Its 4:1 pattern is more likely to reflect DNA-damage and cell-cycle stress than a selective AD-protective microglial mechanism.
5	BRD-K01868942	RS-23597-190	observed_thp1	3	4	1	PICALM|ZYX|CTSH|BIN1	CASS4	Preclinical	serotonin receptor antagonist	HTR4	not annotated		plausible_with_caveats	HTR4 signaling is relevant to CNS and immune physiology, but an HTR4-antagonist mechanism is not an established microglial AD strategy. The 4:1 pattern is interesting but mechanistically weak without target validation in THP1.
6	BRD-K01779529	fluoropyruvate	observed_thp1	3	4	1	PICALM|CASS4|USP6NL|RHOH	PSMC3	not annotated	not annotated	not annotated	not annotated		likely_nonspecific_or_toxic	Fluoropyruvate perturbs core pyruvate metabolism. The 4:1 pattern is therefore likely driven by broad bioenergetic stress rather than a tractable, selective protective mechanism.
7	BRD-K93095519	SJ-172550	observed_thp1	3	3	0	PLEKHA1|CASS4|CTSH		Preclinical	MDM inhibitor	MDM4	not annotated		likely_nonspecific_or_toxic	SJ-172550 disrupts MDM4-p53 signaling, but it has chemical-stability/promiscuity concerns and reported neuronal toxicity. Its 3:0 pattern is more consistent with a p53/stress response than an AD-repurposing lead.
8	BRD-A98248982	BRD-A98248982	observed_thp1	3	3	0	PLEKHA1|EPHA1|RHOH		not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:0 pattern is favorable, but the perturbagen has no resolved name, MOA, or target annotation. Chemical identity and orthogonal target data are required before biological interpretation.
9	BRD-K30677119	PP-30	observed_thp1	3	3	0	CTSH|GSTK1|CASS4		not annotated	not annotated	not annotated	not annotated		uninterpretable	PP-30 has a 3:0 pattern but lacks a reliable public MOA annotation in the current resources. It remains a chemical-signature lead rather than a biologically interpretable candidate.
10	BRD-K75532464	FTI-276	observed_thp1	3	3	0	USP6NL|CASS4|PICALM		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	FTI-276 inhibits protein farnesylation and can alter RAS-family signaling, vesicle trafficking, and inflammatory programs. Those processes are relevant to myeloid biology, but prenylation inhibition is broad and the 3:0 result needs confirmation with better-characterized inhibitors.
11	BRD-K71799778	BML-259	observed_thp1	3	3	0	PICALM|CASP2|EPHA1		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	BML-259 inhibits CDK5 and CDK2. CDK5 has neurodegeneration relevance, but a THP1 signature may also reflect CDK2 or broader kinase effects; the 3:0 pattern supports use as a pathway probe, not yet as a therapeutic lead.
12	BRD-K16701932	Gly-Gly-PALO	observed_thp1	3	3	0	PLEKHA1|ZYX|RABEP1		not annotated	not annotated	not annotated	not annotated		likely_nonspecific_or_toxic	Gly-Gly-PALO inhibits ornithine transcarbamylase and perturbs arginine/urea-cycle metabolism. The 3:0 pattern may reflect metabolic stress, with little direct support for selective microglial AD benefit.
