rank	pert_id	drug	response_source	n_protective_genes	frac_protective_genes	moa	target	biology_read
1	BRD-K69181860	ARG-CSC-91	observed_thp1	11	0.846	not annotated	not annotated	Strongest signature match but weakly interpretable because MOA/targets are not annotated; treat as a chemical-signature lead pending compound identity and target review.
2	BRD-K04623885	BIBR-1532	observed_thp1	10	0.769	telomerase inhibitor	TERT	Biology is mixed: telomerase/stress programs can affect senescence and immune state, but this is not an obvious microglial AD mechanism; useful as a strong transcriptomic lead.
3	BRD-K87947369	tozasertib	observed_thp1	10	0.769	Aurora kinase inhibitor; Bcr-Abl kinase inhibitor; FLT3 inhibitor; JAK inhibitor	AURKA; AURKB; AURKC; LCK	Plausible immune-signaling hit because JAK/Src-family activity can affect myeloid activation, but broad kinase and cell-cycle effects make this more of a pathway/tool signal.
4	BRD-K96354014	nifedipine	observed_thp1	10	0.769	calcium channel blocker	CACNA1C; CACNA1D; CACNA1F; CACNA1H; CACNA1S; CACNA2D1; CACNB2; CALM1; GLRA1; GLRA3; GLRB; KCNA1; KCNA5; NR1I2; TRPM3	Moderately plausible through calcium signaling, vascular biology, and immune-cell activation; launched status helps repurposing feasibility, though THP1 effects may not reflect microglia-specific mechanisms.
5	BRD-A23770159	sirolimus	observed_thp1	10	0.769	mTOR inhibitor	FKBP1A; MTOR	One of the most biologically credible hits: mTOR connects autophagy, lysosomal function, metabolism, and inflammatory activation, all relevant to microglia and AD.
6	BRD-K89687904	PKCbeta-inhibitor	observed_thp1	10	0.769	not annotated	not annotated	Plausible pathway class because PKC signaling can regulate inflammatory activation and phagocytosis, but compound identity/target annotation needs confirmation.
7	BRD-K59597909	phenothiazine	observed_thp1	10	0.769	dopamine receptor antagonist	not annotated	Moderately interesting but nonspecific; phenothiazines can have lysosomal, autophagy, and membrane effects beyond dopamine receptors, so the match may reflect broad stress biology.
8	BRD-A20131130	2',5'-dideoxyadenosine	observed_thp1	10	0.769	not annotated	not annotated	Interpretable mainly as an adenylate cyclase/cAMP pathway tool; cAMP signaling can modulate myeloid inflammation, but target annotation is incomplete.
9	BRD-A13195221	STK-064652	observed_thp1	10	0.769	not annotated	not annotated	Weak biological interpretability because MOA/targets are missing; keep as a signature hit only.
10	BRD-A13122391	triptolide	observed_thp1	9	0.692	RNA polymerase inhibitor	RELA	Biologically plausible as an anti-inflammatory NF-kB/transcriptional suppressor signal, but broad toxicity and global transcriptional effects limit direct therapeutic interpretation.
11	BRD-K28360340	TW-37	observed_thp1	9	0.692	BCL inhibitor	BCL2; BCL2L1; MCL1	Moderately plausible through apoptosis/mitochondrial stress and immune-cell survival, but less direct as a protective microglial expression modulator.
12	BRD-K61662457	CAY-10594	observed_thp1	9	0.692	not annotated	not annotated	Weak interpretability without a trusted target annotation; signature may still be useful for follow-up if identity can be resolved.
13	BRD-K60219430	serdemetan	observed_thp1	9	0.692	MDM inhibitor	MDM2	Some plausibility through p53/stress and senescence-like programs, but not a clean microglial AD pathway and likely reflects stress-response biology.
14	BRD-K83354763	NFKB-activation-inhibitor-II	observed_thp1	9	0.692	NFkB pathway inhibitor	RELA	Biologically credible as a myeloid anti-inflammatory signal because NF-kB is central to microglial activation; tool-compound status and pathway breadth are caveats.
