rank	pert_id	pert_iname	response_source	net_sig_protective_genes	n_sig_protective_genes	n_sig_opposing_genes	protective_genes_abs1	opposing_genes_abs1	clinical_phase	moa	target	disease_area	indication	reasonableness	biology_read	condition_evidence	max_stress_module_score	stress_module_cutoff	cytotoxic_signature_similarity	cytotoxic_similarity_cutoff	stress_toxicity_filter_reason
1	BRD-K01868942	RS-23597-190	observed_thp1	3	4	1	PICALM|ZYX|CTSH|BIN1	CASS4	Preclinical	serotonin receptor antagonist	HTR4	not annotated		plausible_with_caveats	HTR4 signaling is relevant to CNS and immune physiology, but an HTR4-antagonist mechanism is not an established microglial AD strategy. The 4:1 pattern is interesting but mechanistically weak without target validation in THP1.	unreplicated_single_profile	0.374075	0.8985444247722632	0.40921873	0.5359419941902162	pass
2	BRD-K01779529	fluoropyruvate	observed_thp1	3	4	1	PICALM|CASS4|USP6NL|RHOH	PSMC3	not annotated	not annotated	not annotated	not annotated		likely_nonspecific_or_toxic	Fluoropyruvate perturbs core pyruvate metabolism. The 4:1 pattern is therefore likely driven by broad bioenergetic stress rather than a tractable, selective protective mechanism.	unreplicated_single_profile	0.67662853	0.8985444247722632	-0.3126615	0.5359419941902162	pass
3	BRD-A98248982	BRD-A98248982	observed_thp1	3	3	0	PLEKHA1|EPHA1|RHOH		not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:0 pattern is favorable, but the perturbagen has no resolved name, MOA, or target annotation. Chemical identity and orthogonal target data are required before biological interpretation.	unreplicated_single_profile	0.30235714	0.8985444247722632	-0.021312077	0.5359419941902162	pass
4	BRD-K30677119	PP-30	observed_thp1	3	3	0	CTSH|GSTK1|CASS4		not annotated	not annotated	not annotated	not annotated		uninterpretable	PP-30 has a 3:0 pattern but lacks a reliable public MOA annotation in the current resources. It remains a chemical-signature lead rather than a biologically interpretable candidate.	unreplicated_single_profile	0.7140571	0.8985444247722632	0.112061895	0.5359419941902162	pass
5	BRD-K75532464	FTI-276	observed_thp1	3	3	0	USP6NL|CASS4|PICALM		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	FTI-276 inhibits protein farnesylation and can alter RAS-family signaling, vesicle trafficking, and inflammatory programs. Those processes are relevant to myeloid biology, but prenylation inhibition is broad and the 3:0 result needs confirmation with better-characterized inhibitors.	unreplicated_single_profile	0.7207584	0.8985444247722632	-0.20098895	0.5359419941902162	pass
6	BRD-K71799778	BML-259	observed_thp1	3	3	0	PICALM|CASP2|EPHA1		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	BML-259 inhibits CDK5 and CDK2. CDK5 has neurodegeneration relevance, but a THP1 signature may also reflect CDK2 or broader kinase effects; the 3:0 pattern supports use as a pathway probe, not yet as a therapeutic lead.	unreplicated_single_profile	0.21625002	0.8985444247722632	-0.067380965	0.5359419941902162	pass
7	BRD-K16701932	Gly-Gly-PALO	observed_thp1	3	3	0	PLEKHA1|ZYX|RABEP1		not annotated	not annotated	not annotated	not annotated		likely_nonspecific_or_toxic	Gly-Gly-PALO inhibits ornithine transcarbamylase and perturbs arginine/urea-cycle metabolism. The 3:0 pattern may reflect metabolic stress, with little direct support for selective microglial AD benefit.	unreplicated_single_profile	0.080125	0.8985444247722632	-0.20682171	0.5359419941902162	pass
8	BRD-K37694030	doxepin	observed_thp1	3	3	0	CASP2|RHOH|BIN1		Launched	histamine receptor antagonist	HRH1|SLC6A2|SLC6A4	neurology/psychiatry	depression|anxiety	plausible_with_caveats	Doxepin is CNS-penetrant and modulates histamine and monoamine signaling, but sedation and anticholinergic burden limit an AD-repurposing argument. The 3:0 THP1 pattern has no clear target-level link to the coloc genes.	replicated_consistent	0.6378361	0.8985444247722632	0.41902372	0.5359419941902162	pass
9	BRD-A73680854	PT-630	observed_thp1	2	4	2	RHOH|ZYX|CASS4|RABEP1	USP6NL|CTSH	not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	PT-630 inhibits FAP and related dipeptidyl peptidases, which can affect immune signaling. Its 4:2 pattern is mixed, and there is no strong evidence that this extracellular-protease mechanism is beneficial in microglia or AD.	unreplicated_single_profile	0.5574333	0.8985444247722632	-0.2772899	0.5359419941902162	pass
10	BRD-K53903639	CHEMBL-1222381	observed_thp1	2	3	1	RABEP1|ZYX|CASP2	USP6NL	not annotated	not annotated	not annotated	not annotated		uninterpretable	CHEMBL-1222381 has a 3:1 pattern but no usable MOA or target annotation in the current resources. The result is not biologically interpretable without identity and pharmacology curation.	unreplicated_single_profile	0.30750713	0.8985444247722632	-0.075706184	0.5359419941902162	pass
